梅州3频道,#genre#

港台频道,#genre#

福建频道,#genre#
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8
CCTV2,http://117.27.190.42:9998/tsfile/live/23233_1.m3u8
CCTV3,http://117.27.190.42:9998/tsfile/live/23234_1.m3u8
CCTV4,http://117.27.190.42:9998/tsfile/live/23235_1.m3u8
CCTV5,http://117.27.190.42:9998/tsfile/live/23236_1.m3u8
CCTV6,http://117.27.190.42:9998/tsfile/live/23237_1.m3u8
CCTV7,http://117.27.190.42:9998/tsfile/live/23238_1.m3u8
CCTV8,http://117.27.190.42:9998/tsfile/live/23239_1.m3u8
CCTV9,http://117.27.190.42:9998/tsfile/live/23240_1.m3u8
CCTV10,http://117.27.190.42:9998/tsfile/live/23241_1.m3u8
CCTV11,http://117.27.190.42:9998/tsfile/live/23242_1.m3u8
CCTV12,http://117.27.190.42:9998/tsfile/live/23243_1.m3u8
CCTV13,http://117.27.190.42:9998/tsfile/live/23244_1.m3u8
CCTV14,http://117.27.190.42:9998/tsfile/live/23245_1.m3u8
CCTV15,http://117.27.190.42:9998/tsfile/live/23246_1.m3u8
CCTV17,http://117.27.190.42:9998/tsfile/live/23247_1.m3u8
CCTV5＋,http://117.27.190.42:9998/tsfile/live/23248_1.m3u8
CCTV16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8
三沙卫视,http://117.27.190.42:9998/tsfile/live/23250_1.m3u8
云南卫视,http://117.27.190.42:9998/tsfile/live/23251_1.m3u8
贵州卫视,http://117.27.190.42:9998/tsfile/live/23252_1.m3u8
辽宁卫视,http://117.27.190.42:9998/tsfile/live/23253_1.m3u8
重庆卫视,http://117.27.190.42:9998/tsfile/live/23254_1.m3u8
青海卫视,http://117.27.190.42:9998/tsfile/live/23255_1.m3u8
黑龙江卫视,http://117.27.190.42:9998/tsfile/live/23256_1.m3u8
北京卫视,http://117.27.190.42:9998/tsfile/live/23257_1.m3u8
吉林卫视,http://117.27.190.42:9998/tsfile/live/23258_1.m3u8
天津卫视,http://117.27.190.42:9998/tsfile/live/23259_1.m3u8
四川卫视,http://117.27.190.42:9998/tsfile/live/23260_1.m3u8
安徽卫视,http://117.27.190.42:9998/tsfile/live/23261_1.m3u8
安徽卫视,http://117.27.190.42:9998/tsfile/live/23262_1.m3u8
山东卫视,http://117.27.190.42:9998/tsfile/live/23263_1.m3u8
江苏卫视,http://117.27.190.42:9998/tsfile/live/23264_1.m3u8
江西卫视,http://117.27.190.42:9998/tsfile/live/23265_1.m3u8
河北卫视,http://117.27.190.42:9998/tsfile/live/23266_1.m3u8
河南卫视,http://117.27.190.42:9998/tsfile/live/23267_1.m3u8
东方卫视,http://117.27.190.42:9998/tsfile/live/23268_1.m3u8
广西卫视,http://117.27.190.42:9998/tsfile/live/23269_1.m3u8
广东卫视,http://117.27.190.42:9998/tsfile/live/23270_1.m3u8
浙江卫视,http://117.27.190.42:9998/tsfile/live/23271_1.m3u8
海南卫视,http://117.27.190.42:9998/tsfile/live/23272_1.m3u8
海南卫视,http://117.27.190.42:9998/tsfile/live/23273_1.m3u8
深圳卫视,http://117.27.190.42:9998/tsfile/live/23274_1.m3u8
湖北卫视,http://117.27.190.42:9998/tsfile/live/23275_1.m3u8
湖南卫视,http://117.27.190.42:9998/tsfile/live/23276_1.m3u8
