汕头联通,#genre#
汕头一台,http://221.5.12.130:2223/hls/76/index.m3u8
汕头二台,http://221.5.12.130:2223/hls/69/index.m3u8
汕头三台,http://221.5.12.130:2223/hls/62/index.m3u8
揭阳综合,http://221.5.12.130:2223/hls/11/index.m3u8
普宁台,http://221.5.12.130:2223/hls/12/index.m3u8
TVB星河台,http://221.5.12.130:2223/hls/6/index.m3u8
凤凰中文,http://221.5.12.130:2223/hls/7/index.m3u8
凤凰资讯,http://221.5.12.130:2223/hls/10/index.m3u8
广东体育,http://221.5.12.130:2223/hls/13/index.m3u8
CCTV-5＋体育,http://221.5.12.130:2223/hls/91/index.m3u8
风云足球,http://221.5.12.130:2223/hls/85/index.m3u8
优漫卡通,http://221.5.12.130:2223/hls/77/index.m3u8
金鹰卡通,http://221.5.12.130:2223/hls/83/index.m3u8
嘉佳卡通,http://221.5.12.130:2223/hls/72/index.m3u8
CCTV-14 少儿,http://221.5.12.130:2223/hls/84/index.m3u8
广东新闻,http://221.5.12.130:2223/hls/5/index.m3u8
TVS1,http://221.5.12.130:2223/hls/1/index.m3u8
西甲,http://221.5.12.130:2223/hls/4/index.m3u8
CCTV-1 综合,http://221.5.12.130:2223/hls/23/index.m3u8
﻿CCTV-2 财经,http://221.5.12.130:2223/hls/73/index.m3u8
CCTV-3 综艺,http://221.5.12.130:2223/hls/24/index.m3u8
CCTV-4 国际,http://221.5.12.130:2223/hls/74/index.m3u8
CCTV-5 体育,http://221.5.12.130:2223/hls/89/index.m3u8
CCTV-6 电影,http://221.5.12.130:2223/hls/75/index.m3u8
CCTV-7 军事农业,http://221.5.12.130:2223/hls/79/index.m3u8
CCTV-8 电视剧,http://221.5.12.130:2223/hls/80/index.m3u8
CCTV-9记录,http://221.5.12.130:2223/hls/90/index.m3u8
CCTV-10科教,http://221.5.12.130:2223/hls/56/index.m3u8
CCTV-11戏曲,http://221.5.12.130:2223/hls/60/index.m3u8
CCTV-12 社会与法,http://221.5.12.130:2223/hls/81/index.m3u8
CCTV-13 新闻,http://221.5.12.130:2223/hls/65/index.m3u8
CCTV-15 音乐,http://221.5.12.130:2223/hls/70/index.m3u8
广东卫视,http://221.5.12.130:2223/hls/14/index.m3u8
广东影视,http://221.5.12.130:2223/hls/46/index.m3u8
深圳卫视,http://221.5.12.130:2223/hls/82/index.m3u8
湖南卫视,http://221.5.12.130:2223/hls/63/index.m3u8
浙江卫视,http://221.5.12.130:2223/hls/29/index.m3u8
安徽卫视,http://221.5.12.130:2223/hls/34/index.m3u8
广东珠江,http://221.5.12.130:2223/hls/15/index.m3u8
南方卫视,http://221.5.12.130:2223/hls/59/index.m3u8
江苏卫视,http://221.5.12.130:2223/hls/71/index.m3u8
东南卫视,http://221.5.12.130:2223/hls/37/index.m3u8
湖北卫视,http://221.5.12.130:2223/hls/68/index.m3u8
深圳都市,http://221.5.12.130:2223/hls/61/index.m3u8
云南卫视,http://221.5.12.130:2223/hls/55/index.m3u8
河南卫视,http://221.5.12.130:2223/hls/64/index.m3u8
山东卫视,http://221.5.12.130:2223/hls/88/index.m3u8
四川卫视,http://221.5.12.130:2223/hls/66/index.m3u8
北京卫视,http://221.5.12.130:2223/hls/78/index.m3u8
河北卫视,http://221.5.12.130:2223/hls/47/index.m3u8
东方卫视,http://221.5.12.130:2223/hls/67/index.m3u8
江西卫视,http://221.5.12.130:2223/hls/87/index.m3u8
天津卫视,http://221.5.12.130:2223/hls/92/index.m3u8
重庆卫视,http://221.5.12.130:2223/hls/93/index.m3u8
陕西卫视,http://221.5.12.130:2223/hls/54/index.m3u8
内蒙古卫视,http://221.5.12.130:2223/hls/57/index.m3u8
宁夏卫视,http://221.5.12.130:2223/hls/58/index.m3u8
黑龙江卫视,http://221.5.12.130:2223/hls/95/index.m3u8

 
嘉兴联通,#genre#

CCTV 1 综合 ,http://home.js001.com:7777/stream/channelid/2047244483?profile=pass
CCTV 2 财经 ,http://home.js001.com:7777/stream/channelid/1181369424?profile=pass
CCTV 3 综艺 ,http://home.js001.com:7777/stream/channelid/1708718087?profile=pass
CCTV 4 中文国际 ,http://home.js001.com:7777/stream/channelid/110915426?profile=pass
CCTV 5 体育 ,http://home.js001.com:7777/stream/channelid/1005016003?profile=pass
CCTV 5+ 体育赛事 ,http://home.js001.com:7777/stream/channelid/376950284?profile=pass
CCTV 6 电影 ,http://home.js001.com:7777/stream/channelid/1531555713?profile=pass
CCTV 7 国防军事 ,http://home.js001.com:7777/stream/channelid/1337252658?profile=pass
CCTV 8 电视剧 ,http://home.js001.com:7777/stream/channelid/841425397?profile=pass
CCTV 9 记录 ,http://home.js001.com:7777/stream/channelid/349290233?profile=pass
CCTV 10 科教 ,http://home.js001.com:7777/stream/channelid/1857941135?profile=pass
CCTV 11 戏曲 ,http://home.js001.com:7777/stream/channelid/1584887484?profile=pass
CCTV 12 社会与法 ,http://home.js001.com:7777/stream/channelid/604912287?profile=pass
CCTV 13 新闻 ,http://home.js001.com:7777/stream/channelid/2133997348?profile=pass
CCTV 14 青少 ,http://home.js001.com:7777/stream/channelid/328826133?profile=pass
CCTV 15 音乐 ,http://home.js001.com:7777/stream/channelid/1502316774?profile=pass
CCTV 16 奥林匹克 ,http://home.js001.com:7777/stream/channelid/43205297?profile=pass
CCTV 16 奥林匹克 4K,http://home.js001.com:7777/stream/channelid/1661554041?profile=pass
CCTV 17 农村农业 ,http://home.js001.com:7777/stream/channelid/800428881?profile=pass
CCTV 4K,http://home.js001.com:7777/stream/channelid/1788242048?profile=pass
