频道列表,#genre#

CCTV1,http://113.64.147.28:8811/hls/1/index.m3u8
CCTV2,http://113.64.147.28:8811/hls/2/index.m3u8
CCTV3,http://113.64.147.28:8811/hls/3/index.m3u8
CCTV4,http://113.64.147.28:8811/hls/4/index.m3u8
CCTV5,http://113.64.147.28:8811/hls/5/index.m3u8
CCTV6,http://113.64.147.28:8811/hls/6/index.m3u8
CCTV7,http://113.64.147.28:8811/hls/7/index.m3u8
CCTV8,http://113.64.147.28:8811/hls/8/index.m3u8
CCTV9,http://113.64.147.28:8811/hls/9/index.m3u8
CCTV10,http://113.64.147.28:8811/hls/10/index.m3u8
CCTV11,http://113.64.147.28:8811/hls/11/index.m3u8
CCTV12,http://113.64.147.28:8811/hls/12/index.m3u8
CCTV13,http://113.64.147.28:8811/hls/13/index.m3u8
CCTV14,http://113.64.147.28:8811/hls/14/index.m3u8
CCTV15,http://113.64.147.28:8811/hls/15/index.m3u8
CCTV风云音乐,http://113.64.147.28:8811/hls/39/index.m3u8
CCTV怀旧剧场,http://113.64.147.28:8811/hls/40/index.m3u8
CCTV风云足球,http://113.64.147.28:8811/hls/41/index.m3u8
CCTV风云剧场,http://113.64.147.28:8811/hls/42/index.m3u8
CCTV第一剧场,http://113.64.147.28:8811/hls/43/index.m3u8
CCTV央视精品,http://113.64.147.28:8811/hls/44/index.m3u8
CCTV老故事,http://113.64.147.28:8811/hls/46/index.m3u8

凤凰卫视,http://113.64.147.28:8811/hls/32/index.m3u8
凤凰资讯,http://113.64.147.28:8811/hls/33/index.m3u8
凤凰香港,http://113.64.147.28:8811/hls/34/index.m3u8
TVB星河,http://113.64.147.28:8811/hls/35/index.m3u8
香港翡翠,http://113.64.147.28:8811/hls/36/index.m3u8
明珠台,http://113.64.147.28:8811/hls/37/index.m3u8
东森电影,http://113.64.147.28:8811/hls/58/index.m3u8
东森洋片,http://113.64.147.28:8811/hls/59/index.m3u8
天映频道,http://113.64.147.28:8811/hls/62/index.m3u8
动作电影,http://113.64.147.28:8811/hls/56/index.m3u8
家庭影院,http://113.64.147.28:8811/hls/60/index.m3u8
中国电影,http://113.64.147.28:8811/hls/61/index.m3u8
广东珠江,http://113.64.147.28:8811/hls/17/index.m3u8
广东体育,http://113.64.147.28:8811/hls/18/index.m3u8
广东公共,http://113.64.147.28:8811/hls/29/index.m3u8
广东新闻,http://113.64.147.28:8811/hls/30/index.m3u8
揭西台,http://113.64.147.28:8811/hls/20/index.m3u8
揭阳台,http://113.64.147.28:8811/hls/21/index.m3u8
揭阳公共,http://113.64.147.28:8811/hls/22/index.m3u8
潮州综合,http://113.64.147.28:8811/hls/23/index.m3u8
汕头台,http://113.64.147.28:8811/hls/24/index.m3u8
南方1台,http://113.64.147.28:8811/hls/25/index.m3u8
南方4台,http://113.64.147.28:8811/hls/27/index.m3u8
南方5台,http://113.64.147.28:8811/hls/28/index.m3u8
体育赛事,http://113.64.147.28:8811/hls/45/index.m3u8
魅力足球,http://113.64.147.28:8811/hls/50/index.m3u8
优漫卡通,http://113.64.147.28:8811/hls/64/index.m3u8
嘉佳卡通,http://113.64.147.28:8811/hls/65/index.m3u8
北京卡酷,http://113.64.147.28:8811/hls/66/index.m3u8
新动漫,http://113.64.147.28:8811/hls/67/index.m3u8
金鹰卡通,http://113.64.147.28:8811/hls/68/index.m3u8
中国气象,http://113.64.147.28:8811/hls/47/index.m3u8

广东卫视,http://113.64.147.28:8811/hls/16/index.m3u8
深圳卫视,http://113.64.147.28:8811/hls/19/index.m3u8
湖南卫视,http://113.64.147.28:8811/hls/69/index.m3u8
东南卫视,http://113.64.147.28:8811/hls/70/index.m3u8
贵州卫视,http://113.64.147.28:8811/hls/71/index.m3u8
湖北卫视,http://113.64.147.28:8811/hls/73/index.m3u8
云南卫视,http://113.64.147.28:8811/hls/76/index.m3u8
江苏卫视,http://113.64.147.28:8811/hls/77/index.m3u8
浙江卫视,http://113.64.147.28:8811/hls/78/index.m3u8
山东卫视,http://113.64.147.28:8811/hls/79/index.m3u8
山西卫视,http://113.64.147.28:8811/hls/80/index.m3u8
江西卫视,http://113.64.147.28:8811/hls/84/index.m3u8
山东教育,http://113.64.147.28:8811/hls/88/index.m3u8
北京卫视,http://113.64.147.28:8811/hls/89/index.m3u8
黑龙江卫视,http://113.64.147.28:8811/hls/90/index.m3u8
宁夏卫视,http://113.64.147.28:8811/hls/91/index.m3u8
陕西卫视,http://113.64.147.28:8811/hls/92/index.m3u8
安微卫视,http://113.64.147.28:8811/hls/93/index.m3u8
河南卫视,http://113.64.147.28:8811/hls/94/index.m3u8
四川卫视,http://113.64.147.28:8811/hls/95/index.m3u8
甘肃卫视,http://113.64.147.28:8811/hls/96/index.m3u8
天津卫视,http://113.64.147.28:8811/hls/97/index.m3u8
青海卫视,http://113.64.147.28:8811/hls/98/index.m3u8
内蒙古卫视,http://113.64.147.28:8811/hls/99/index.m3u8


