五华2,#genre#
CCTV-1,http://163.177.122.35:9901/tsfile/live/1019_1.m3u8
CCTV-2,http://163.177.122.35:9901/tsfile/live/1020_1.m3u8
CCTV-3,http://163.177.122.35:9901/tsfile/live/1021_1.m3u8
CCTV-4,http://163.177.122.35:9901/tsfile/live/1022_1.m3u8
CCTV-5,http://163.177.122.35:9901/tsfile/live/1023_1.m3u8
CCTV-5+,http://163.177.122.35:9901/tsfile/live/1024_1.m3u8
CCTV-6,http://163.177.122.35:9901/tsfile/live/1025_1.m3u8
CCTV-7,http://163.177.122.35:9901/tsfile/live/1026_1.m3u8
CCTV-8,http://163.177.122.35:9901/tsfile/live/1027_1.m3u8
CCTV-9,http://163.177.122.35:9901/tsfile/live/1028_1.m3u8
CCTV-10,http://163.177.122.35:9901/tsfile/live/1029_1.m3u8
CCTV-11,http://163.177.122.35:9901/tsfile/live/1030_1.m3u8
CCTV-12,http://163.177.122.35:9901/tsfile/live/1031_1.m3u8
CCTV-13,http://163.177.122.35:9901/tsfile/live/1032_1.m3u8
CCTV-14,http://163.177.122.35:9901/tsfile/live/1033_1.m3u8
CCTV-15,http://163.177.122.35:9901/tsfile/live/1034_1.m3u8
CCTV-16,http://163.177.122.35:9901/tsfile/live/1035_1.m3u8
CCTV17,http://163.177.122.35:9901/tsfile/live/1036_1.m3u8
CCTN,http://163.177.122.35:9901/tsfile/live/1037_1.m3u8
风云足球,http://163.177.122.35:9901/tsfile/live/1095_1.m3u8
世界地理,http://163.177.122.35:9901/tsfile/live/1096_1.m3u8
风云音乐,http://163.177.122.35:9901/tsfile/live/1097_1.m3u8
风云剧场,http://163.177.122.35:9901/tsfile/live/1098_1.m3u8
怀旧剧场,http://163.177.122.35:9901/tsfile/live/1099_1.m3u8
央视文化,http://163.177.122.35:9901/tsfile/live/1100_1.m3u8
国防军事,http://163.177.122.35:9901/tsfile/live/1101_1.m3u8
电视指南,http://163.177.122.35:9901/tsfile/live/1102_1.m3u8

湖南卫视,http://163.177.122.35:9901/tsfile/live/1049_1.m3u8
浙江卫视,http://163.177.122.35:9901/tsfile/live/1050_1.m3u8
江苏卫视,http://163.177.122.35:9901/tsfile/live/1051_1.m3u8
东方卫视,http://163.177.122.35:9901/tsfile/live/1052_1.m3u8
